Report,Publisher,Country Name,Year of Report,Latest,Indicator (English),Indicator Description,Rank,Previous Rank,Value (Reported),Score,Data Type,Source,Falls under 50% threshold,First Globally,First Arab,First Regionally,First GCC,First G20,Sector (English),Main Entity (English),Supporting Entity (English)
Prosperity Index,Legatum Institute,United Arab Emirates,2022,-,"Protection Of Women'S Workplace, Education And Family Rights","A Composite Measure Of The Degree To Which Women Receive Protections From Discrimination In A Society, Encompassing Numerous Factors.",132,130,10,0.333,Index,The Womanstats Project,Yes,Sweden,Comoros,Turkey,United Arab Emirates,Canada,Gender Balance,Gender Balance Council,Ministry of Cabinet Affairs and Future
Social Progress Index,Social Progress Imperative,United Arab Emirates,2022,-,Equal Access To Quality Healthcare (0=Unequal; 4=Equal),"Country Experts' Aggregated Evaluation Of The Question, To What Extent Is High Quality Basic Healthcare Guaranteed To All, Sufficient To Enable Them To Exercise Their Basic Political Rights As Adult Citizens?",18,18,-,3.707,Survey,"Varieties Of Democracy (v-Dem), Dataset Version 12",No,Multiple Countries,United Arab Emirates,United Arab Emirates,United Arab Emirates,Japan,Gender Balance,Gender Balance Council,Not Available
Social Progress Index,Social Progress Imperative,United Arab Emirates,2022,-,Equal Access To Quality Education (0=Unequal; 4=Equal),"Country Experts' Aggregated Evaluation Of The Question, To What Extent Is High Quality Basic Education Guaranteed To All, Sufficient To Enable Them To Exercise Their Basic Rights As Adult Citizens?",22,32,-,3.549,Survey,"Varieties Of Democracy (v-Dem), Dataset Version 12",No,Multiple Countries,Kuwait,Kuwait,Kuwait,Japan,Gender Balance,Gender Balance Council,Not Available
Sustainable Development Goals Index,Bertelsmann Stiftung and SDSN,United Arab Emirates,2022,-,Seats Held By Women In National Parliament (%),"The Number Of Seats Held By Women In Single Or Lower Chambers Of National Parliaments, Expressed As A Percentage Of All Occupied Seats. Seats Refer To The Number Of Parliamentary Mandates, Or The Number Of Members Of Parliament.",1,1,100,-,Data,IPU,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Mexico,Gender Balance,Gender Balance Council,Not Available
The World Competitiveness Yearbook,International Institute for Management Development,United Arab Emirates,2022,-,Females in parliament,"Percentage Of Total Seats In Parliament. Share Of Seats In National Parliament: Proportion Of Seats Held By Women In A Lower/ Single House Or /And An Upper House/ Senate Expressed As Percentage Of Total Seats. For Countries With Bicameral Legislative Systems, The Share Of Seats Is Calculated Based On Both Houses.",1,1,50,-,Data,World Development Indicators (World Bank) National sources,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Mexico,Gender Balance,Gender Balance Council,Not Available
The World Competitiveness Yearbook,International Institute for Management Development,United Arab Emirates,2022,-,Gender inequality,"A Composite Measure Reflecting Inequality In Achievement Between Women And Men In Three Dimensions: Reproductive Health, Empowerment And The Labour Market.",20,20,0.079,-,Data,UNDP Human Development Report / http:/hdr.undp.org/en/data National sources,No,Switzerland,United Arab Emirates,United Arab Emirates,United Arab Emirates,France,Gender Balance,Gender Balance Council,Not Available
The World Competitiveness Yearbook,International Institute for Management Development,United Arab Emirates,2022,-,Women on boards,"% Of Board Seats Held By Women, Of The Approximately 2'500 Companies Around The World Measured By Msci. Iceland: Female Share Of Seats On Boards Of The Largest Publicly Listed Companies. Kazakhstan: Including Public Sector.",56,54,6.3,-,Data,"Msciwomen On Boards Report, Msciwww.msci.com national Sources",Yes,Iceland,Bahrain,Israel,Bahrain,France,Gender Balance,Securities and Commodities Authority,Gender Balance Council
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Are periods of absence due to childcare accounted for in pension benefits?,"A Score Of 1 Is Assigned If Pension Contributions Are Paid Or Credited During Maternity Or Parental Leave, Or The Leave Period Is Considered A Qualifying Period Of Employment Used For The Purpose Of Calculating Pension Benefits. A Score Of 1 Is Also Assigned If There Are Mechanisms To Compensate For Any Contribution Gaps And To Ensure That The Leave Period Does Not Reduce The Assessment Base Or Pension Amounts, Or If There Are No Mandatory Contributory Pension Schemes, But There Is A Noncontributory Universal Social Pension Conditioned On Noncontributory Requirements With No Means Test Attached. A Score Of 0 Is Assigned If There Are No Compensating Pension Arrangements For Periods Of Childcare, Or If There Is No Mandatory Contributory Pension Scheme For Private Sector Workers And No Noncontributory Universal Social Pension.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Community Development
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Are there criminal penalties or civil remedies for sexual harassment in employment?,"A Score Of 1 Is Assigned If The Law Establishes Criminal Sanctions, Such As Fines Or Imprisonment, For Sexual Harassment In Employment. A Score Of 1 Is Also Assigned If The Provision In The Criminal Code Provides For Reparation Or Damages For Offenses Covered By The Code, Or If The Law Provides For Civil Remedies Or Compensation For Victims Of Sexual Harassment In Employment Or The Workplace, Even After Dismissal Of The Victims. A Score Of 0 Is Assigned If The Law Establishes Neither Criminal Sanctions For Sexual Harassment In Employment Nor Civil Remedies Or Compensation For Victims Of Sexual Harassment In Employment Or The Workplace. A Score Of 0 Is Also Assigned If The Law Only Prohibits Sexual Harassment In Employment And Sets Forth That The Employer Should Apply Discretionary Sanctions.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Can a woman apply for a passport in the same way as a man?,"This Question Considers Actual Application Forms Available At The Relevant Agency Or On Official Government Websites, Regardless Of What The Law Specifies. A Score Of 1 Is Assigned If There Are No Gender Differences In Passport Application Procedures. A Score Of 0 Is Assigned If An Adult Woman Needs The Permission Or Signature Of Her Husband, Father, Or Other Relative Or Guardian To Apply For A Passport. A Score Of 0 Is Also Assigned If Passport Application Procedures Or Forms Require A Woman To Provide Details About Her Husband, Father, Or Other Relative Or Guardian, Or Additional Documents Such As A Marriage Certificate, Whereas The Same Is Not Required For A Man.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Can a woman be head of household in the same way as a man?,A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Being Head Of Household Or Head Of Family. A Score Of 0 Is Assigned If There Is A Provision Designating The Husband As Head Of Household Or Stipulating That The Husband Leads The Family. A Score Of 0 Is Also Assigned If A Male Is Designated As The Default Family Member Who Receives The Family Book Or Equivalent Document That Is Needed For Access To Services. Gender Restrictions Under Tax Law Are Not Measured By This Question.,1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Can a woman choose where to live in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Can a woman get a job in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman’S Legal Capacity And Ability To Get A Job Or Pursue A Trade Or Profession. A Score Of 0 Is Assigned If A Husband Can Prevent His Wife From Working, Or If Permission Or Additional Documentation Is Required For A Woman To Work But Not A Man. A Score Of 0 Is Also Assigned If It Is Considered A Form Of Disobedience With Legal Consequences, Such As Loss Of Maintenance, For A Woman To Work Contrary To Her Husband’S Wishes Or The Interests Of The Family.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Human Resources and Emiratization
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Can a woman open a bank account in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Opening A Bank Account. A Score Of 0 Is Assigned If A Woman Has Limited Legal Capacity Or Is Required To Provide Any Additional Permission Or Documentation That Is Not Required Of A Man. A Score Of 0 Is Also Assigned If Legal Provisions Limit The Ability Of A Woman To Open A Bank Account, Such As Stating That Only A Married Woman Who Is Separately Employed From Her Husband May Open A Bank Account In Her Own Name.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Can a woman register a business in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Registering A Business. A Score Of 0 Is Assigned If A Woman Has Limited Legal Capacity To Register A Business. This Includes Situations In Which She Needs Her Husband’S Or Guardian’S Permission, Signature, Or Consent To Register A Business. A Score Of 0 Is Also Assigned If The Registration Process At Any Stage Requires A Woman To Provide Additional Information Or Documentation That Is Not Required Of A Man.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Can a woman sign a contract in the same way as a man?,"A Score Of 1 Is Assigned If A Woman Obtains Full Legal Capacity Upon Reaching The Age Of Majority And There Are No Restrictions On Her Signing Legally Binding Contracts. A Score Of 0 Is Assigned If A Woman Has Limited Legal Capacity To Sign A Contract Or Needs The Signature, Consent, Or Permission Of Her Husband Or Guardian To Do So.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Can a woman travel outside the country in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Traveling Alone Internationally. A Score Of 0 Is Assigned If Permission, Additional Documentation, Or The Presence Of Her Husband Or A Guardian Is Required For A Woman To Leave The Country. A Score Of 0 Is Also Assigned If The Law Requires A Married Woman To Accompany Her Husband Out Of The Country If He Wishes Her To.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Can a woman work at night in the same way as a man?,"A Score Of 1 Is Assigned If Nonpregnant And Non-Nursing Women Can Work At Night In The Same Way As Men. A Score Of 1 Is Also Assigned When Restrictions On Women’S Ability To Work At Night Do Not Apply To The Food Retail Sector, Women’S Consent To Work At Night Is Required, Or An Employer Needs To Comply With Safety Measures (Such As Providing Transportation). A Score Of 0 Is Assigned If The Law Broadly Prohibits Women, Including Those With Children Over The Age Of One, From Working At Night Or Limits The Hours Women Can Work At Night. A Score Of 0 Is Also Assigned If The Law Gives The Relevant Authority The Power To Restrict Or Prohibit Women’S Night Work, Regardless Of The Content Of Any Decisions Issued By That Authority.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Human Resources and Emiratization
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Can a woman work in a job deemed dangerous in the same way as a man?,"A Score Of 1 Is Assigned If No Laws Prohibit Or Restrict Nonpregnant And Nonnursing Women From Working In A Broad And Subjective Category Of Jobs Deemed “Hazardous,” “Arduous,” Or “Morally Inappropriate.” A Score Of 0 Is Assigned If The Law Prohibits Or Restricts Women From Working In Jobs Deemed Hazardous, Arduous, Or Morally Inappropriate. A Score Of 0 Is Also Assigned If The Employer Or Relevant Authority Can Determine Whether Particular Jobs Are Too Hazardous, Arduous, Or Morally Inappropriate For Women But Not For Men, Regardless Of The Content Of Any Decisions Issued By That Employer Or Authority.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Human Resources and Emiratization
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Can a woman work in an industrial job in the same way as a man?,"A Score Of 1 Is Assigned If Nonpregnant And Non-Nursing Women Can Work In The Mining, Construction, Manufacturing, Energy, Water, Agriculture, And Transportation Industries In The Same Way As Men. A Score Of 0 Is Assigned If The Law Prohibits Women From Working In These Industries. A Score Of 0 Is Also Assigned If Women’S Employment In The Relevant Industries Is Restricted In Any Way, Such As By Prohibiting Women From Working At Night In “Industrial Undertakings,” Or By Giving The Relevant Authority The Power To Prohibit Or Restrict Women From Working In Certain Jobs Or Industries, Regardless Of The Content Of Any Decisions Issued By That Authority.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Human Resources and Emiratization
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Do men and women have equal ownership rights to immovable property?,"A Score Of 1 Is Assigned If There Are No Restrictions On Women’S Legal Capacity And Rights To Immovable Property. A Score Of 0 Is Assigned If Women’S Rights To Own Or Administer Property Are Legally Restricted. A Score Of 0 Is Also Assigned If There Are Gender Differences In The Legal Treatment Of Spousal Property, Such As Granting The Husband Administrative Control Of Marital Property. This Includes Instances In Which Legal Systems Are Supported By Custom And Judicial Precedent.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Does the law grant spouses equal administrative authority over assets during marriage?,"A Score Of 1 Is Assigned If Spouses Retain Administrative Power Over The Assets Each Brought To The Marriage Or Acquired During Marriage, And Their Accrued Value, Without The Need For Spousal Consent. A Score Of 1 Is Also Assigned If Spouses Administer Their Separate Property, But For Major Transactions, Such As Selling Or Pledging The Property As Collateral, Spousal Consent Is Required, Or If Both Spouses Have Equal Rights In The Administration And Transaction Of Joint Property. A Score Of 0 Is Assigned If The Husband Has Administrative Rights Over All Property, Including Any Separate Property Of The Wife.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Does the law mandate equal remuneration for work of equal value?,"“Remuneration” Refers To The Ordinary, Basic, Or Minimum Wage Or Salary And Any Additional Emoluments Payable Directly Or Indirectly, Whether In Cash Or In Kind, By The Employer To The Worker And Arising From The Worker’S Employment. “Work Of Equal Value” Refers Not Only To The Same Or Similar Jobs But Also To Different Jobs Of The Same Value. A Score Of 1 Is Assigned If Employers Are Legally Obliged To Pay Equal Remuneration To Male And Female Employees Who Perform Work Of Equal Value In Accordance With These Definitions. A Score Of 0 Is Assigned If The Law Limits The Principle Of Equal Remuneration To Equal Work, The Same Work, Similar Work, Or Work Of A Similar Nature. A Score Of 0 Is Also Assigned If The Law Limits The Broad Concept Of “Remuneration” To Only Basic Wages Or Salary, Or If The Law Limits The Principle Of Equal Remuneration For Work Of Equal Value To The Same Place Of Business Or Same Employer.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Does the law prohibit discrimination in access to credit based on gender?,"A Score Of 1 Is Assigned If The Law Prohibits Discrimination By Creditors Based On Sex Or Gender Or Prescribes Equal Access For Both Men And Women When Conducting Financial Transactions Or Entrepreneurial Activities Or Receiving Financial Assistance. A Score Of 1 Is Also Assigned If The Law Prohibits Gender Discrimination When Accessing Goods And Services (And Services Are Defined To Include Financial Services). A Score Of 0 Is Assigned If The Law Does Not Prohibit Such Discrimination, Or If The Law Does Not Provide For Effective Remedies.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Does the law prohibit discrimination in employment based on gender?,"A Score Of 1 Is Assigned If The Law Prohibits Employers From Discriminating Based On Sex Or Gender Or Mandates Equal Treatment Of Women And Men In Employment. A Score Of 0 Is Assigned If The Law Does Not Prohibit Such Discrimination Or Only Prohibits It In One Aspect Of Employment, Such As Pay Or Dismissal.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Is dismissal of pregnant workers prohibited?,"A Score Of 1 Is Assigned If The Law Explicitly Prohibits The Dismissal Of Pregnant Women, If Pregnancy Cannot Serve As Grounds For Termination Of A Contract, Or If Dismissal Of Pregnant Workers Is Considered A Form Of Unlawful Termination, Unfair Dismissal, Or Wrongful Discharge. A Score Of 0 Is Assigned If There Are No Provisions Prohibiting The Dismissal Of Pregnant Workers, Or If The Law Only Prohibits The Dismissal Of Pregnant Workers During Maternity Leave, For A Limited Period Of The Pregnancy, Or When Pregnancy Results In Illness Or Disability.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Human Resources and Emiratisation
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Is the age at which men and women can retire with full pension benefits the same?,A Score Of 1 Is Assigned If The Statutory Age At Which Men And Women Can Retire And Receive An Irrevocable Minimum Old-Age Pension Is The Same. A Score Of 0 Is Assigned If There Is A Difference In The Statutory Age Or If There Is No Mandatory Pension Scheme Implemented For Private Sector Workers.,1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Human Resources and Emiratisation
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Is the age at which men and women can retire with partial pension benefits the same?,"Partial Pension Benefits Refer To A Reduced Or Proportional Minimum Old-Age Pension Payable To Workers Who Did Not Accumulate Enough Work Experience Or Periods Of Contribution Or Have Not Reached The Statutory Age To Qualify For A Minimum Old-Age Pension. A Score Of 1 Is Assigned If The Age At Which Men And Women Can Retire And Receive Partial Pension Benefits Is The Same, Or If The Age At Which Men And Women Can Retire And Receive Partial Benefits Is Not Mandated. A Score Of 0 Is  Assigned If The Age At Which Men And Women Can Retire And Receive Partial Pension Benefits Is Different, Or If There Is No Mandatory Pension Scheme Implemented For Private Sector Workers.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Human Resources and Emiratisation
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Is the law free of legal provisions that require a married woman to obey her husband?,"A Score Of 1 Is Assigned If There Is No Provision Requiring A Married Woman To Obey Her Husband. A Score Of 0 Is Assigned If There Is An Explicit Provision Stating That A Married Woman Must Obey Her Husband, Or If Disobedience Of A Husband Has Legal Ramifications For His Wife, Such As Loss Of Her Right To Maintenance.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Is the mandatory retirement age for men and women the same?,"A Score Of 1 Is Assigned If The Legally Established Age At Which Men And Women Must Retire Is The Same, Or If There Is No Mandatory Retirement Age. A Score Of 0 Is Assigned If The Age At Which Men And Women Must Retire Is Different.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Human Resources and Emiratisation
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Is there legislation on sexual harassment in employment?,"A Score Of 1 Is Assigned If Legal Provisions Specifically Protect Against Sexual Harassment In Employment, Including Unwelcome Verbal Or Physical Conduct Of A Sexual Nature. A Score Of 0 Is Assigned If There Is No Such Legislation. A Score Of 0 Is Also Assigned If The Law Addresses Harassment In General But Makes No Reference To Acts Of A Sexual Nature Or Contact, Or If It States Only That The Employer Has A Duty To Prevent Sexual Harassment But No Provisions Prohibit It Or Provide Sanctions Or Other Forms Of Redress.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Is there legislation specifically addressing domestic violence?,"A Score Of 1 Is Assigned If There Is Legislation Addressing Domestic Violence That Includes Criminal Sanctions Or Provides For Protection Orders For Domestic Violence. A Score Of 0 Is Assigned If There Is No Legislation Addressing Domestic Violence, If The Domestic Violence Legislation Does Not Provide For Sanctions Or Protection Orders, Or If Only A Specific Category Of Women Or Family Member Is Protected. A Score Of 0 Is Also Assigned If There Is Only A Provision That Increases Penalties For General Crimes Covered In The Criminal Code If Committed Between Spouses Or Within The Family.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Community Development
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Is there paid leave available to fathers?,"A Score Of 1 Is Assigned If Fathers Are Legally Entitled To At Least One Day Of Paid Paternity Leave For The Birth Of A Child, Or If The Law Reserves A Portion Of Paid Parental Leave Specifically For Fathers—That Is, Through “Use-It-Or-Lose-It” Policies Or Fathers’ Quotas. A Score Of 1 Is Also Assigned If Fathers Are Individually Entitled To Paid Parental Leave. A Score Of 0 Is Assigned If The Law Does Not Guarantee Fathers Any Paid Paternity Leave Or Other Specific Leave For The Birth Of A Child. A Score Of 0 Is Also Assigned If Allowances For The Birth Of A Child Must Be Deducted From Annual Or Sick Leave.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Human Resources and Emiratisation
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Is there paid parental leave?,"A Score Of 1 Is Assigned If Parents Are Legally Entitled To Some Form Of Full-Time Paid Parental Leave, Either Shared Between Mother And Father Or As An Individual Entitlement That Each Can Take Regardless Of The Other. A Score Of 0 Is Assigned If The Law Does Not Mandate Any Form Of Paid Parental Leave.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Human Resources and Emiratisation
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Does the government administer 100% of maternity leave benefits?,"A Score Of 1 Is Assigned If Leave Benefits Are Fully Administered By A Government Entity, Including Compulsory Social Insurance Schemes (Such As Social Security), Public Funds, Government-Mandated Private Insurance, Or Employer Reimbursement Of Any Maternity Leave Benefits Paid Directly To An Employee. A Score Of 0 Is Assigned If Any Of The Cost Is Shared By The Employer. A Score Of 0 Is Also Assigned If Contributions Or Taxes Are Mandated Only For Female Employees, If The Social Insurance Scheme That Provides Maternity Leave Benefits Is Optional, Or If No Paid Leave Is Available To Expectant And New Mothers.",100,100,-,0,Legislation,World Bank,Yes,Multiple Countries,Multiple Countries,Multiple Countries,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Human Resources and Emiratisation
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Is paid leave of at least 14 weeks available to mothers?,"A Score Of 1 Is Assigned If Mothers Are Legally Entitled To At Least 14 Weeks (98 Calendar Days) Of Paid Leave For The Birth Of A Child Through Maternity Leave, Parental Leave, Or A Combination Of Both. A Score Of 0 Is Assigned If The Law Does Not Establish Paid Leave For Mothers, Or If The Length Of Paid Leave Is Less Than 14 Weeks.",119,118,-,0,Legislation,World Bank,Yes,Multiple Countries,Multiple Countries,Multiple Countries,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Human Resources and Emiratisation
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Does a woman have the same rights to remarry as a man?,"A Score Of 1 Is Assigned If Women And Men Have Equal Rights To Remarry. A Score Of 0 Is Assigned If Provisions Limit A Woman’S Right To Remarry, Such As Requiring A Waiting Period Before Remarriage To Which A Man Is Not Subject. A Score Of 0 Is Also Assigned If Divorce Is Legally Prohibited.",123,123,-,0,Legislation,World Bank,Yes,Multiple Countries,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Does the law provide for the valuation of nonmonetary contributions?,"Nonmonetary Contributions Include Caring For Minor Children, Taking Care Of The Family Home, Or Any Other Nonmonetized Contribution From A Stay-At-Home Spouse. A Score Of 1 Is Assigned If There Is An Explicit Legal Recognition Of Such Contributions And The Law Provides For Equal Or Equitable Division Of The Property Or The Transfer Of A Lump Sum To The Stay-At-Home Spouse Based On Nonmonetary Contributions. A Score Of 1 Is Also Assigned If The Default Marital Property Regime Is Full Community, Partial Community, Or Deferred Community Of Property Because These Regimes Implicitly Recognize Nonmonetary Contributions At The Time Of Property Division And Benefit Both Spouses Regardless Of Who Purchased The Property Or Holds Title To It. A Score Of 0 Is Assigned If The Default Marital Property Regime Is Not Full Or Partial Community Or Deferred Full Or Partial Community, And There Is No Explicit Legal Provision Providing For Equal Or Equitable Division Of Property Based On Nonmonetary Contributions.",134,134,-,0,Legislation,World Bank,Yes,Multiple Countries,United Arab Emirates,Multiple Countries,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Can a woman obtain a judgment of divorce in the same way as a man?,"A Score Of 1 Is Assigned If The Process To Obtain A Judgment Of Divorce Is Equal For Women And Men Or Provides Additional Protections For Women, Such As Prohibiting A Husband From Initiating Divorce Proceedings While His Wife Is Pregnant. A Score Of 0 Is Assigned If There Are Procedural Or Evidentiary Differences For Women, If Only Men Can Initiate Divorce Proceedings, Or If Divorce Is Legally Prohibited.",145,145,-,0,Legislation,World Bank,Yes,Multiple Countries,Tunisia,Multiple Countries,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
